
AR PLASMA WITH DIFFUSION AND EXTERNAL CIRCUIT

pression, Pa           = 1.00E+02
gap length, cm         = 4.00E-01
channel radius, cm     = 4.00E-01
voltage, V             = 1.00E+03
resistance, Ohm        = 1.00E+05
gas temperature, K     = 3.00E+02
electrin density, cm-3 = 1.00E+06
end time, s            = 1.00E-03
PRESS ENTER TO CONTINUE ...
ZDPlasKin (version 2.0a) INIT:
  species        ... 8
  reactions      ... 13
  BOLSIG+ loader ... bolsigdb.dat : 2 species & 5 collisions
  species  link  ... 2
  process  link  ... 4
ZDPlasKin INFO: reset data and configuration
ZDPlasKin INFO: set accuracy 1.00D-10 (absolute) & 1.00D-05 (relative)
ZDPlasKin INIT DONE

        Time_s       dtime_s         EN_Td     Elec_cm-3
  2.427927E-05  6.133165E-09  2.209644E+00  3.296422E+11
  2.491707E-05  6.632028E-09  2.235033E+00  3.286667E+11
  2.560839E-05  7.228232E-09  2.260396E+00  3.276828E+11
  2.636673E-05  7.956313E-09  2.286332E+00  3.266893E+11
  2.720652E-05  8.870367E-09  2.313044E+00  3.256869E+11
  2.814924E-05  1.004689E-08  2.340546E+00  3.246759E+11
  2.922572E-05  1.153873E-08  2.369046E+00  3.236553E+11
  3.048131E-05  1.374153E-08  2.397466E+00  3.226260E+11
  3.199563E-05  1.683866E-08  2.426995E+00  3.215874E+11
  3.390483E-05  2.176005E-08  2.456905E+00  3.205383E+11
  3.649081E-05  3.143518E-08  2.488123E+00  3.194771E+11
  4.055535E-05  5.028268E-08  2.520005E+00  3.184071E+11
  5.095277E-05  1.775855E-07  2.551994E+00  3.173295E+11
  2.496672E-04  3.023713E-06  2.560628E+00  3.170719E+11
  5.018123E-04  2.909375E-06  2.560999E+00  3.170594E+11
  7.520833E-04  3.018872E-06  2.561342E+00  3.170363E+11
Time of calculations: 3.08215E+01 (s)
PRESS ENTER TO EXIT ...
